number,bestOf,title,earwolfUrl,guests,live
633,False,"Forky On Top, Porky On The Bottom",https://www.earwolf.com/episode/forky-on-top-porky-on-the-bottom/,"['Ben Schwartz', 'Horatio Sanz']",False
2019.4,True,Best of 2019 Pt.4,https://www.earwolf.com/episode/best-of-2019-pt-4/,['Paul F. Tompkins'],False
2019.3,True,Best of 2019 Pt.3,https://www.earwolf.com/episode/best-of-2019-pt-3/,['Paul F. Tompkins'],False
2019.2,True,Best of 2019 Pt.2,https://www.earwolf.com/episode/best-of-2019-pt-2/,['Paul F. Tompkins'],False
2019.1,True,Best of 2019 Pt.1,https://www.earwolf.com/episode/best-of-2019-pt-1/,['Paul F. Tompkins'],False
632,False,2019 Holiday Spectacular,https://www.earwolf.com/episode/2019-holiday-spectacular/,"['Carl Tart', 'Drew Tarver', 'Electric Guest', 'Jason Mantzoukas', 'Jon Gabrus', 'Lauren Lapkus', 'Lily Sullivan', 'Paul F. Tompkins', 'Shaun Diston', 'Tim Baltz']",False
631,False,What Are The Coordinates?,https://www.earwolf.com/episode/what-are-the-coordinates/,"['Rekha Shankar', 'Mary Holland', 'Jimmy Fowlie']",False
630,False,Tattoos Clues,https://www.earwolf.com/episode/tattoos-clues/,"['Thomas Middleditch', 'Jon Gabrus']",False
629,False,Pimp My Site,https://www.earwolf.com/episode/pimp-my-site/,"['Demi Adejuyigbe', 'Gabe Gundacker', 'Ryan Rosenberg', 'Ify Nwadiwe']",False
628,False,Best of CBB Live 2019 (Vote for 10 of Your Favorites),https://www.earwolf.com/episode/best-of-cbb-live-2019-vote-for-10-of-your-favorites/,[],False
628,False,Floating Bus Reform,https://www.earwolf.com/episode/floating-bus-reform/,"['Joel Kim Booster', 'Mitra Jouhari', 'Dan Lippert', 'Zac Oyama']",False
627,False,How Bout That?,https://www.earwolf.com/episode/how-bout-that/,"['Allen Strickland Williams', 'Holly Prazoff', 'Jiavani Linayao']",False
626,False,Trickery and Rhythm,https://www.earwolf.com/episode/trickery-and-rhythm/,"['Max Silvestri', 'Edgar Momplaisir', 'Zeke Nicholson']",False
625,False,Petite Modeling,https://www.earwolf.com/episode/petite-modeling/,"['Jon Gabrus', ""Claudia O'Doherty"", 'Will Hines', 'Ben Rodgers']",False
624,False,Clinkity Clank,https://www.earwolf.com/episode/clinkity-clank/,"['Jocelyn DeBoer', 'Dawn Luebbe', 'Griffin Newman', 'Laci Mosley']",False
623,False,The Pragmatic Jokers,https://www.earwolf.com/episode/the-pragmatic-jokers/,"['Sarah Baker', 'Matt Gourley', 'Paul F. Tompkins']",False
622,False,Pillow Coffin: Rudi North Returns,https://www.earwolf.com/episode/pillow-coffin-rudi-north-returns/,"['Jason Mantzoukas', 'Shaun Diston', 'Lily Sullivan', 'Tim Baltz']",False
621,False,Untitled Wachs Project,https://www.earwolf.com/episode/untitled-wachs-project/,"['Stephanie Wittels Wachs', 'Dan Lippert', 'Drew Tarver', 'Ryan Rosenberg']",False
620,False,Burbank is The Good Place,https://www.earwolf.com/episode/burbank-is-the-good-place/,"[""D'Arcy Carden"", 'Anthony King', 'John Gemberling']",False
619,False,The Stars of Between Two Ferns: The Movie,https://www.earwolf.com/episode/the-stars-of-between-two-ferns-the-movie/,"['Zach Galifianakis', 'Lauren Lapkus', 'Ryan Gaul', 'Jiavani Linayao']",False
618,False,Hot Yogurt,https://www.earwolf.com/episode/hot-yogurt/,"['Kevin Nealon', 'Joe Wengert', 'Lily Sullivan']",False
617,False,Modern Nursery Rhymes,https://www.earwolf.com/episode/modern-nursery-rhymes/,"['Anthony Jeselnik', 'Dan Lippert', 'Dhruv Uday Singh']",False
616,False,Memphis Kansas Breeze with YACHT,https://www.earwolf.com/episode/memphis-kansas-breeze-with-yacht/,"['YACHT', 'Shaun Diston', 'Carl Tart', 'Drew Tarver']",False
615,False,The Chastman Family,https://www.earwolf.com/episode/the-chastman-family/,"['Tatiana Maslany', 'Kristian Bruun', 'Paul F. Tompkins', 'Kirby Howell-Baptiste']",False
614,False,Bean Dip & Randy Snutz Return: That’s What I Said,https://www.earwolf.com/episode/bean-dip-randy-snutz-return-thats-what-i-said/,"['Adam DeVine', 'Edi Patterson', 'Tim Baltz']",False
613,False,Driving Beauty Queens,https://www.earwolf.com/episode/driving-beauty-queens/,"['Moshe Kasher', 'Natasha Leggero', 'Drew Tarver', 'Ele Woods']",False
612,False,The Juice Is Loose,https://www.earwolf.com/episode/the-juice-is-loose/,"['Jimmy Pardo', 'Carl Tart', 'Lauren Ashley Smith']",False
611,False,TindTeacher,https://www.earwolf.com/episode/tindteacher/,"['Bryan Safi', 'Jon Gabrus', 'Zac Oyama', 'Edgar Momplaisir']",False
610,False,NutsStalgia,https://www.earwolf.com/episode/nutsstalgia/,"['Alan Tudyk', 'Holly Prazoff', 'Ryan Rosenberg']",False
609,False,Donna Sticks Catering Experience,https://www.earwolf.com/episode/donna-sticks-catering-experience/,"['Andy Richter', 'Lily Sullivan', 'Oscar Montoya']",False
608,False,Major League Bees,https://www.earwolf.com/episode/major-league-bees/,"['Tim Heidecker', 'Ben Rodgers', 'Will Hines']",False
607,False,Are You a Heaux?,https://www.earwolf.com/episode/are-you-a-heaux/,"['Beth  Stelling', 'Ego Nwodim', 'Betsy Sodaro']",False
606,False,Treasure Hunting with Silversun Pickups,https://www.earwolf.com/episode/treasure-hunting-with-silversun-pickups/,"['Silversun Pickups', 'Paul F. Tompkins', 'Jessica McKenna']",False
605,False,Full Ninja Rights,https://www.earwolf.com/episode/full-ninja-rights/,"['Max Silvestri', 'Shaun Diston', 'Dan Lippert']",False
604,False,Hashtag Song Goals with Seth Green,https://www.earwolf.com/episode/songgoals-with-seth-green/,"['Seth Green', 'Carl Tart', 'Jon Daly', 'Gil Ozeri']",False
603,False,Fastidious Makeover with The Sloppy Boys,https://www.earwolf.com/episode/fastidious-makeover-with-the-sloppy-boys/,"['Mike Hanford', 'Neil Campbell', 'Tim Kalpakis', 'Jefferson Dutton']",False
602,False,Four...Dollars Hundred,https://www.earwolf.com/episode/four-dollars-hundred/,"['David Cross', 'Will Hines', 'Ele Woods']",False
601,False,20th Anniversary Special,https://www.earwolf.com/episode/20th-anniversary-special/,"['Kulap Vilaysack', 'Lily Sullivan', 'Ryan Gaul']",False
