releaseDate,number,guests,bestOf,live
2018-12-17,579,"[""Jason Mantzoukas"", ""Jon Gabrus"", ""Paul F. Tompkins"", ""Lauren Lapkus"", ""Shaun Diston"", ""Zeke Nicholson"", ""Jessica McKenna"", ""Mike Hanford"", ""Will Hines"", ""Tim Baltz"", ""Ryan Gaul"", ""Thomas Middleditch"", ""Nick Wiger""]",False,False
2018-12-13,578,"[""Paul F. Tompkins"", ""Bobby Moynihan""]",False,False
2018-12-10,577,"[""Flula Borg"", ""Shaun Diston"", ""Lily Sullivan""]",False,False
2018-12-03,576,"[""Andy Daly"", ""Tim Baltz""]",False,False
2018-11-26,575,"[""Don't Stop Or We'll Die"", ""Mike Hanford"", ""Zac Oyama""]",False,False
2018-11-19,574,"[""Conan O\u2019Brien"", ""Paul F. Tompkins"", ""Lauren Lapkus"", ""Mary Holland""]",False,False
2018-11-12,573,"[""Adam Cayton-Holland"", ""Alana Johnston"", ""Ben Rodgers""]",False,False
2018-11-05,572,"[""Jason Mantzoukas"", ""Paul F. Tompkins""]",False,False
2018-10-29,571,"[""Jon Gabrus"", ""Betsy Sodaro"", ""Will Hines""]",False,False
2018-10-22,570,"[""David Wain"", ""Thomas Middleditch"", ""Shaun Diston""]",False,False
2018-10-15,569,"[""Emily Heller"", ""Drew Tarver"", ""Dan Lippert"", ""Ryan Rosenberg"", ""Jon Mackey""]",False,False
2018-10-08,568,"[""Ike Barinholtz"", ""Dhruv Uday Singh"", ""Mary Sohn""]",False,False
2018-10-01,567,"[""Lennon Parham"", ""Nick Kroll"", ""Gil Ozeri""]",False,False
2018-09-24,566,"[""Taran Killam"", ""Paul Brittain"", ""Ryan Gaul""]",False,False
2018-09-17,565,"[""Jason Mantzoukas"", ""Mary Holland"", ""D'Arcy Carden""]",False,False
2018-09-10,564,"[""Zach Galifianakis"", ""Andy Daly"", ""Nicole Parker""]",False,False
2018-09-03,563,"[""CHVRCHES"", ""Edi Patterson"", ""Holly Prazoff""]",False,False
2018-08-27,562,"[""Max Silvestri"", ""Matt Besser"", ""Joe Wengert""]",False,False
2018-08-20,561,"[""Andy Richter"", ""Zach Reino"", ""Tawny Newsome""]",False,False
2018-08-13,560,"[""Ben Schwartz"", ""Jessica McKenna"", ""Will Hines""]",False,False
2018-08-06,559,"[""Bobby Moynihan"", ""Eugene Cordero""]",False,False
2018-07-30,558,"[""Casey Wilson"", ""Drew Tarver"", ""Zac Oyama""]",False,False
2018-07-26,557,"[""Carl Tart"", ""Madeline Walter""]",False,False
2018-07-24,556,"[""Kristian Bruun"", ""John Gemberling"", ""Gil Ozeri"", ""Zeke Nicholson""]",False,False
2018-07-16,555,"[""Cameron Esposito"", ""Paul F. Tompkins"", ""Matt Gourley""]",False,False
2018-07-09,554,"[""Horatio Sanz"", ""Thomas Middleditch""]",False,False
2018-07-02,553,"[""Lakeith Stanfield"", ""Ego Nwodim"", ""Mary Sohn""]",False,False
2018-06-25,552,"[""Weird Al Yankovic"", ""Ryan Gaul"", ""Edi Patterson""]",False,False
2018-06-18,551,"[""The Sloppy Boys"", ""Jon Gabrus"", ""Shaun Diston""]",False,False
2018-06-11,550,"[""Jason Mantzoukas"", ""Andy Daly""]",False,False
2018-06-04,549,"[""Jessica St. Clair"", ""Lennon Parham"", ""Brian Huskey"", ""Paul Scheer""]",False,False
2018-05-28,548,"[""Gillian Jacobs"", ""Paul F. Tompkins"", ""Lamar Woods"", ""Tawny Newsome""]",False,False
2018-05-21,547,"[""John Mulaney"", ""Seth Morris"", ""Betsy Sodaro""]",False,False
2018-05-17,546,"[""Sean Clements"", ""Hayes Davenport""]",False,False
2018-05-14,545,"[""Reggie Watts"", ""John Tejada"", ""Jeremy Rowley"", ""Alison Rich""]",False,False
2018-05-08,544,"[""Michael Ian Black"", ""Nick Thune"", ""Zac Oyama"", ""Holly Prazoff""]",False,False
2018-05-01,543,"[""9th Anniversary: Sean Clements"", ""Hayes Davenport"", ""Lauren Lapkus"", ""Paul F. Tompkins"", ""Shaun Diston"", ""Zeke Nicholson"", ""Ego Nwodim"", ""Madeline Walter""]",False,False
2018-04-24,542,"[""Phoebe Robinson"", ""Madeline Walter"", ""Ronnie Adrian""]",False,False
2018-04-16,541,"[""Thomas Middleditch"", ""Ben Schwartz""]",False,False
2018-04-09,540,"[""Jon Hamm"", ""Paul F. Tompkins"", ""Jessica McKenna"", ""Zach Reino""]",False,False
2018-04-02,539,"[""Adam Cayton-Holland"", ""Neil Campbell"", ""D'Arcy Carden""]",False,False
2018-03-31,538,"[""5 Threedom: Ep 1 - This Was a Mistake""]",False,False
2018-03-26,538,"[""Chelsea Peretti"", ""Matt Besser"", ""Dhruv Uday Singh""]",False,False
2018-03-19,537,"[""Thomas Middleditch"", ""Martin Starr""]",False,False
2018-03-15,536,"[""Live from SXSW 2018: Tatiana Maslany"", ""Jon Gabrus"", ""Lauren Lapkus"", ""Paul Scheer"", ""James Adomian""]",False,False
